index;type;minority_decision;majority_decision
258;RARE;3=>2;3=>1
259;RARE;3=>2;3=>1
260;BORDERLINE;3=>2;3=>1
261;BORDERLINE;3=>2;3=>1
7;OUTLIER;3=>2;3=>1
8;OUTLIER;3=>2;3=>1
136;RARE;3=>2;3=>1
137;RARE;3=>2;3=>1
268;RARE;3=>2;3=>1
269;BORDERLINE;3=>2;3=>1
142;RARE;3=>2;3=>1
143;RARE;3=>2;3=>1
144;RARE;3=>2;3=>1
145;RARE;3=>2;3=>1
273;BORDERLINE;3=>2;3=>1
274;RARE;3=>2;3=>1
24;RARE;3=>2;3=>1
281;BORDERLINE;3=>2;3=>1
156;RARE;3=>2;3=>1
157;RARE;3=>2;3=>1
285;RARE;3=>2;3=>1
158;RARE;3=>2;3=>1
286;RARE;3=>2;3=>1
159;BORDERLINE;3=>2;3=>1
160;OUTLIER;3=>2;3=>1
161;BORDERLINE;3=>2;3=>1
34;RARE;3=>2;3=>1
293;RARE;3=>2;3=>1
167;BORDERLINE;3=>2;3=>1
168;OUTLIER;3=>2;3=>1
169;RARE;3=>2;3=>1
170;BORDERLINE;3=>2;3=>1
43;SAFE;3=>2;3=>1
299;BORDERLINE;3=>2;3=>1
44;RARE;3=>2;3=>1
45;RARE;3=>2;3=>1
304;BORDERLINE;3=>2;3=>1
305;OUTLIER;3=>2;3=>1
180;RARE;3=>2;3=>1
53;RARE;3=>2;3=>1
181;BORDERLINE;3=>2;3=>1
54;RARE;3=>2;3=>1
62;OUTLIER;3=>2;3=>1
190;BORDERLINE;3=>2;3=>1
63;BORDERLINE;3=>2;3=>1
191;RARE;3=>2;3=>1
64;RARE;3=>2;3=>1
65;RARE;3=>2;3=>1
197;RARE;3=>2;3=>1
198;BORDERLINE;3=>2;3=>1
199;BORDERLINE;3=>2;3=>1
73;RARE;3=>2;3=>1
74;RARE;3=>2;3=>1
75;BORDERLINE;3=>2;3=>1
80;BORDERLINE;3=>2;3=>1
81;RARE;3=>2;3=>1
82;RARE;3=>2;3=>1
215;OUTLIER;3=>2;3=>1
89;RARE;3=>2;3=>1
90;RARE;3=>2;3=>1
91;RARE;3=>2;3=>1
92;OUTLIER;3=>2;3=>1
223;SAFE;3=>2;3=>1
96;SAFE;3=>2;3=>1
224;RARE;3=>2;3=>1
97;RARE;3=>2;3=>1
98;BORDERLINE;3=>2;3=>1
229;RARE;3=>2;3=>1
230;RARE;3=>2;3=>1
231;RARE;3=>2;3=>1
107;BORDERLINE;3=>2;3=>1
108;BORDERLINE;3=>2;3=>1
109;BORDERLINE;3=>2;3=>1
238;BORDERLINE;3=>2;3=>1
239;RARE;3=>2;3=>1
240;BORDERLINE;3=>2;3=>1
114;BORDERLINE;3=>2;3=>1
115;BORDERLINE;3=>2;3=>1
245;RARE;3=>2;3=>1
124;BORDERLINE;3=>2;3=>1
125;RARE;3=>2;3=>1
