index;type;minority_decision;majority_decision
256;BORDERLINE;7=>imU;7=>other
257;OUTLIER;7=>imU;7=>other
258;BORDERLINE;7=>imU;7=>other
224;BORDERLINE;7=>imU;7=>other
225;BORDERLINE;7=>imU;7=>other
226;BORDERLINE;7=>imU;7=>other
227;BORDERLINE;7=>imU;7=>other
228;BORDERLINE;7=>imU;7=>other
229;BORDERLINE;7=>imU;7=>other
230;BORDERLINE;7=>imU;7=>other
231;BORDERLINE;7=>imU;7=>other
232;BORDERLINE;7=>imU;7=>other
233;BORDERLINE;7=>imU;7=>other
234;BORDERLINE;7=>imU;7=>other
235;BORDERLINE;7=>imU;7=>other
236;SAFE;7=>imU;7=>other
237;BORDERLINE;7=>imU;7=>other
238;BORDERLINE;7=>imU;7=>other
239;RARE;7=>imU;7=>other
240;BORDERLINE;7=>imU;7=>other
241;BORDERLINE;7=>imU;7=>other
242;BORDERLINE;7=>imU;7=>other
243;SAFE;7=>imU;7=>other
244;SAFE;7=>imU;7=>other
245;RARE;7=>imU;7=>other
246;SAFE;7=>imU;7=>other
247;BORDERLINE;7=>imU;7=>other
248;BORDERLINE;7=>imU;7=>other
249;BORDERLINE;7=>imU;7=>other
250;BORDERLINE;7=>imU;7=>other
251;OUTLIER;7=>imU;7=>other
252;SAFE;7=>imU;7=>other
253;OUTLIER;7=>imU;7=>other
254;BORDERLINE;7=>imU;7=>other
255;SAFE;7=>imU;7=>other
