index;type;minority_decision;majority_decision
131;OUTLIER;13=>positive;13=>negative
132;OUTLIER;13=>positive;13=>negative
135;RARE;13=>positive;13=>negative
137;RARE;13=>positive;13=>negative
151;BORDERLINE;13=>positive;13=>negative
152;SAFE;13=>positive;13=>negative
25;BORDERLINE;13=>positive;13=>negative
26;SAFE;13=>positive;13=>negative
154;OUTLIER;13=>positive;13=>negative
28;BORDERLINE;13=>positive;13=>negative
156;BORDERLINE;13=>positive;13=>negative
29;BORDERLINE;13=>positive;13=>negative
157;RARE;13=>positive;13=>negative
30;BORDERLINE;13=>positive;13=>negative
158;RARE;13=>positive;13=>negative
159;RARE;13=>positive;13=>negative
160;OUTLIER;13=>positive;13=>negative
34;SAFE;13=>positive;13=>negative
37;BORDERLINE;13=>positive;13=>negative
166;OUTLIER;13=>positive;13=>negative
39;SAFE;13=>positive;13=>negative
167;OUTLIER;13=>positive;13=>negative
40;RARE;13=>positive;13=>negative
169;BORDERLINE;13=>positive;13=>negative
170;OUTLIER;13=>positive;13=>negative
171;BORDERLINE;13=>positive;13=>negative
172;BORDERLINE;13=>positive;13=>negative
173;OUTLIER;13=>positive;13=>negative
174;RARE;13=>positive;13=>negative
175;BORDERLINE;13=>positive;13=>negative
176;BORDERLINE;13=>positive;13=>negative
177;OUTLIER;13=>positive;13=>negative
178;OUTLIER;13=>positive;13=>negative
179;SAFE;13=>positive;13=>negative
180;BORDERLINE;13=>positive;13=>negative
53;BORDERLINE;13=>positive;13=>negative
181;BORDERLINE;13=>positive;13=>negative
182;RARE;13=>positive;13=>negative
183;RARE;13=>positive;13=>negative
184;BORDERLINE;13=>positive;13=>negative
185;OUTLIER;13=>positive;13=>negative
191;OUTLIER;13=>positive;13=>negative
192;OUTLIER;13=>positive;13=>negative
195;SAFE;13=>positive;13=>negative
196;RARE;13=>positive;13=>negative
197;SAFE;13=>positive;13=>negative
199;BORDERLINE;13=>positive;13=>negative
89;OUTLIER;13=>positive;13=>negative
97;OUTLIER;13=>positive;13=>negative
98;OUTLIER;13=>positive;13=>negative
99;SAFE;13=>positive;13=>negative
100;OUTLIER;13=>positive;13=>negative
101;BORDERLINE;13=>positive;13=>negative
104;SAFE;13=>positive;13=>negative
105;SAFE;13=>positive;13=>negative
108;RARE;13=>positive;13=>negative
114;RARE;13=>positive;13=>negative
115;SAFE;13=>positive;13=>negative
118;OUTLIER;13=>positive;13=>negative
