index;type;minority_decision;majority_decision
129;SAFE;19=>1;19=>2
67;SAFE;19=>1;19=>2
131;OUTLIER;19=>1;19=>2
6;RARE;19=>1;19=>2
134;OUTLIER;19=>1;19=>2
71;RARE;19=>1;19=>2
138;SAFE;19=>1;19=>2
76;RARE;19=>1;19=>2
141;SAFE;19=>1;19=>2
143;RARE;19=>1;19=>2
144;BORDERLINE;19=>1;19=>2
146;SAFE;19=>1;19=>2
147;OUTLIER;19=>1;19=>2
86;OUTLIER;19=>1;19=>2
150;OUTLIER;19=>1;19=>2
87;SAFE;19=>1;19=>2
88;SAFE;19=>1;19=>2
154;BORDERLINE;19=>1;19=>2
91;SAFE;19=>1;19=>2
30;OUTLIER;19=>1;19=>2
94;BORDERLINE;19=>1;19=>2
31;RARE;19=>1;19=>2
98;OUTLIER;19=>1;19=>2
35;OUTLIER;19=>1;19=>2
100;SAFE;19=>1;19=>2
104;SAFE;19=>1;19=>2
106;SAFE;19=>1;19=>2
109;BORDERLINE;19=>1;19=>2
111;RARE;19=>1;19=>2
118;RARE;19=>1;19=>2
120;BORDERLINE;19=>1;19=>2
127;SAFE;19=>1;19=>2
